t,mean_arrivals_per_hour,mean_iat
0,3.7,16.2162162162162
60,3.2,18.75
120,2.4,25
180,2.3,26.0869565217391
240,2,30
300,2.2,27.2727272727273
360,2,30
420,2.5,24
480,3.9,15.3846153846154
540,6,10
600,7,8.57142857142857
660,7.3,8.21917808219178
720,7.4,8.10810810810811
780,6.9,8.69565217391304
840,6.5,9.23076923076923
900,6.5,9.23076923076923
960,6.3,9.52380952380952
1020,6.2,9.67741935483871
1080,6.7,8.95522388059701
1140,6.6,9.09090909090909
1200,6.3,9.52380952380952
1260,6,10
1320,5.7,10.5263157894737
1380,4.4,13.6363636363636
