t,mean_arrivals_per_hour,mean_iat
0,7.4,8.10810810810811
60,6.4,9.375
120,4.8,12.5
180,4.6,13.0434782608696
240,4,15
300,4.4,13.6363636363636
360,4,15
420,5,12
480,7.8,7.69230769230769
540,12,5
600,14,4.28571428571429
660,14.6,4.10958904109589
720,14.8,4.05405405405405
780,13.8,4.34782608695652
840,13,4.61538461538462
900,13,4.61538461538462
960,12.6,4.76190476190476
1020,12.4,4.83870967741936
1080,13.4,4.47761194029851
1140,13.2,4.54545454545455
1200,12.6,4.76190476190476
1260,12,5
1320,11.4,5.26315789473684
1380,8.8,6.81818181818182
